tweet_id,message,historical_reply,suggested_intent,suggested_decision,human_intent,human_decision
1757,@AppleSupport I️ just updated it and it’s still coming up https://t.co/22RZsQyTbh,@116098 Let's dig into this further with you. DM us and we'll continue there.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",general_issue,ESCALATE,general_issue,ESCALATE
1761,iOS 11 is killing my battery @115858. Fix it.,@116099 We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
1764,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP,general_issue,ESCALATE,general_issue,ESCALATE
1763,"@AppleSupport Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",@116100 Try contacting our iTunes Store team here for more help: https://t.co/SDIe7UiyJN,general_issue,ESCALATE,general_issue,ESCALATE
1768,"@AppleSupport it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",@116101 Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
1770,@AppleSupport why is my home sharing not working and how do i fix it,@116101 We're happy to help. Has Home Sharing worked with these devices before?,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
1773,"@AppleSupport I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",@116102 Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
1772,"@AppleSupport iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x","@116102 To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here: https://t.co/GDrqU22YpT",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
1775,@AppleSupport @116102 Battery life just got worst.,"@116103 We'll make sure to get this straightened out. DM us, and we'll see you there. https://t.co/GDrqU22YpT",battery_issue,ESCALATE,battery_issue,ESCALATE
1779,@115858 my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,@116102 We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
1781,@AppleSupport why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,@116104 Let us look into that. What device and OS version are you using?,general_issue,ESCALATE,general_issue,ESCALATE
1783,@115858 if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,@116105  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
1785,@AppleSupport epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,@116106 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_issue,ESCALATE,general_issue,ESCALATE
1787,@AppleSupport Worked 👌🏽,@116107 Glad to hear and just reach out again if you need help. Have a good one!,app_feature_problem,ESCALATE,app_feature_problem,ESCALATE
1789,@AppleSupport No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,@116107 Please keep us posted afterwards.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
1791,why won’t my apps fuccin download or update @AppleSupport,@116107 Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2610,@AppleSupport $100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,@116332 Let us know and we'll continue from there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
2613,"Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190 https://t.co/ImMcJ8QsTM",@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,general_issue,ESCALATE,general_issue,ESCALATE
2616,"@AppleSupport why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","@116334 Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
2615,"@AppleSupport Yes, after the update. I Phone 7",@116334 Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2620,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,general_issue,ESCALATE,general_issue,ESCALATE
2619,@AppleSupport But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,@116335 We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
2624,"It’s been a few days since @115858 made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",@116336 Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: https://t.co/80YRnjDFDk,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2628,Question- @249 @115858 my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,"@116337 We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
2627,@AppleSupport iOS 11.1 it’s been getting worse for a few months now,@116337 Please meet with us in DM. We'd like to gather some additional details from you. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2632,And why is my music NEVER in my control center?! @AppleSupport,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?,general_issue,ESCALATE,general_issue,ESCALATE
2631,"@AppleSupport iPhone 7+, iOS 11.1","@116338 Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. https://t.co/GDrqU22YpT",update_problem,ESCALATE,update_problem,ESCALATE
2635,"@115858 Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",@116339 Check out this link: https://t.co/Lr8zUtw9ls Send us a DM if it doesn't help. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2638,@AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?,@116340 We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U,general_issue,ESCALATE,general_issue,ESCALATE
2637,"@AppleSupport Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",@116340 We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
2642,@AppleSupport still no reliable Bluetooth on my iPhone 8+.,@116341 Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
2645,@115858 when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,@116342 We'd like to help. What is going on with the app?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2644,"@AppleSupport When you roll the month, it does not appear and hangs",@116342 We'd like to take a closer look at this. DM us and we'll go from there. https://t.co/GDrqU22YpT,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
2648,@AppleSupport do you have any apps for epilepsy so I can detect my seizures thanks in advance,"@116343 Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT",general_issue,ESCALATE,general_issue,ESCALATE
2650,"@115858 really needs to fix this update. My phone has never been slower, for real.",@116344 We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2652,@AppleSupport 11.0.3,@116345 Got it. We'd recommend backing up and updating your device to 11.1 and test things out further. Keep us posted on the results.,update_problem,ESCALATE,update_problem,ESCALATE
2654,@AppleSupport newest version of iOS and iPhone 7,"@116345 Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2656,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? @AppleSupport,"@116345 We'll be happy to look into this with you. To clarify, which iPhone model do you have and what's the exact iOS version?",general_issue,ESCALATE,general_issue,ESCALATE
2659,Is anyone else having problems with there iPhone 7 saying no service? @115858 @115714,@116346 We want to help with this. Let's start troubleshooting by trying the steps here: https://t.co/5KootZbxj1,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2662,So why is this happening I️ I️ I️ @AppleSupport,@116347 We'd be glad to see what we can do for you. Let's meet up in DM first. Thanks! https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
2666,I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
2665,@AppleSupport Yes,@116348 Thank you for reaching out. We've received your DM and will continue working with you there.,general_issue,ESCALATE,general_issue,ESCALATE
2671,@AppleSupport @AppleSupport ^^check this out,@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
2676,@AppleSupport HELP ME. I have a problem with my iPhone 7😑,@116349 We're happy to help. What seems to be the problem?,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
2678,"@AppleSupport Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD","@116350 We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT",general_issue,ESCALATE,general_issue,ESCALATE
2680,@AppleSupport It’s sorted. Thanks. iOS update needed a change and hard reboot,@116351 We're glad to hear that's sorted out for you. Have a great day.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2682,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"@116351 We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
2684,@AppleSupport live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,"@116352 Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
3761,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport,@116620 We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
3764,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus @AppleSupport,@116621 Let's look at this together. Are you updated to iOS 11.1?,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
3763,"@AppleSupport 11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol","@116621 It was released earlier today. Let's use these steps to update iOS:  
 https://t.co/80YRnjDFDk",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
3767,@AppleSupport I’m no expert in battery life  but 40% doesn’t go to 7% in 5minutes,"@116622 We understand your concerns, and want to help. Which device is this happening on?",battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
3770,@AppleSupport this is my top bar every time I open messages on my SE after updating to iOS 11.1 https://t.co/Lzge3qzc7w,@116623 Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
3769,@AppleSupport That fixed it thanks,@116623 That's great! Enjoy the rest of your day.,app_feature_problem,ESCALATE,app_feature_problem,ESCALATE
3773,@AppleSupport iOS 11.1 - keyboard lag. 🤨 https://t.co/TdIHT9L9dt,@116624 We'd like to take a look into that with you. Would you please join us in DM to get started? https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
3777,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲",@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
3776,"@AppleSupport still happening, including on iOS 11.2 beta now. any ideas?",@116625 Thanks for the update. Go ahead and send us a DM and we'll take it from there. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4871,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤 @115858 @AppleSupport @318,@116853 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
4870,@AppleSupport iPhone 6 and yes it’s got the latest software update,"@116853 Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4875,Come on @AppleSupport #ios11.1  Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,@116854 Let's investigate this together. Does this only occur when using specific apps or website?,general_issue,ESCALATE,general_issue,ESCALATE
4877,@AppleSupport Restarting does resolve the issue. Thanks.,@116855 We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.,app_feature_problem,AUTO-HANDLE,app_feature_problem,AUTO-HANDLE
4879,@AppleSupport I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,@116855 We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4882,@AppleSupport tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,@116856 We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4881,@AppleSupport iOS 11.1,@116856 Are all of your apps updated as well?,update_problem,ESCALATE,update_problem,ESCALATE
4884,@AppleSupport It,@116856 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
4890,"@AppleSupport whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? https://t.co/8tQy27WvMe",@116857 We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4889,@AppleSupport And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,"@116857 We appreciate those details. For more help with Photos, please reach out to our Photos experts here: https://t.co/IBIY3vMgPj",general_issue,ESCALATE,general_issue,ESCALATE
4893,This “I️” shit annoying yo @115858 fix this shit,@116858 We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
4896,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",general_issue,ESCALATE,general_issue,ESCALATE
4897,@AppleSupport AFTER I️ updated my phone.,@116859 Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4901,Please fix the battery issues in Ios 11! @AppleSupport @115858,@116860 We want to make sure you have a working battery. Have you had a chance to update to the latest 11.1?,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
4900,@AppleSupport @116860 I have and my battery life has become even worse,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
4906,@AppleSupport The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,@116855 We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG,general_issue,ESCALATE,general_issue,ESCALATE
4905,@AppleSupport I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,@116855 Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4909,"コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ;
@AppleSupport @115858 → 「バッテリーの減りが激しい」という問題に関しても同様）。 https://t.co/bGQly6cE2O",@116862 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.,general_issue,ESCALATE,general_issue,ESCALATE
4912,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf @AppleSupport ?,"@116863 We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
4915,"Don’t complain a lot about @115858 but when battery iphone goes down 50% after using your phone for 30 minutes .....
Problems since update 11",@116864 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,battery_issue,AUTO-HANDLE,battery_issue,AUTO-HANDLE
4917,.@AppleSupport why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,@116865 We'd like to help. What iOS version are you on?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
5808,Y’all need to fix this now @115858,@117096 Thank you for reaching out. We've received your DM and will continue working with you there.,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
5810,@AppleSupport No,"@117097 Got it. We recommend updating your Watch OS, then testing to see if the issue persists. If the problem continues, reach back out.",general_issue,ESCALATE,general_issue,ESCALATE
5812,@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,@117097 Got it. Have you updated your Apple Watch to 4.1 yet?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
5814,@AppleSupport ok cool,@117098 Does this issue happen with all applications or only some?  Let us know in DM. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
5816,I️ &lt;— wtf is going on @AppleSupport,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
5819,@AppleSupport I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,@117099 We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
5821,"Dear @AppleSupport this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",@117100 Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
5823,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,@117101 Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,general_issue,ESCALATE,general_issue,ESCALATE
5825,"@AppleSupport excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????",@117102 We'll be happy to take a look into it with you. Please send us a DM with what version of iOS you have. https://t.co/GDrqU22YpT,general_issue,ESCALATE,general_issue,ESCALATE
5829,"Heyyy @115858 still waiting on a version of iOS 11 that isn’t complete shit

— Everyone with any iPhone that isn’t the brand new one","@117103 Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. https://t.co/GDrqU22YpT",update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
5831,@AppleSupport why does my iphone 6 is redémarrer alone !!!!!,@117104 Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. https://t.co/GDrqU22YpT,device_hardware_issue,AUTO-HANDLE,device_hardware_issue,AUTO-HANDLE
5833,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????",@117104 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_issue,ESCALATE,general_issue,ESCALATE
5835,You dropped an update and I️ still see boxed question marks. Fix this shit @AppleSupport @115858.,@117105 We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
5839,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,update_problem,AUTO-HANDLE,update_problem,AUTO-HANDLE
